icao24,callsign,paese,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp_raccolta
4d02c6,JFA70V  ,Luxembourg,1787658188,1787658188,7.5569,43.2658,937.26,False,106.99,74.09,0.0,,1013.46,1000,False,0,2026-08-25 11:43:14.978701
896453,UAE3TK  ,United Arab Emirates,1787658188,1787658188,12.3746,42.1981,11887.2,False,245.7,166.81,0.33,,12489.18,1144,False,0,2026-08-25 11:43:14.978701
896423,ROJ023  ,United Arab Emirates,1787658188,1787658188,10.6199,41.9913,11597.64,False,268.23,139.59,4.55,,12207.24,0207,False,0,2026-08-25 11:43:14.978701
4d02e1,JFA75E  ,Luxembourg,1787658184,1787658188,18.1782,39.9542,12344.4,False,164.81,315.89,14.63,,12992.1,,False,0,2026-08-25 11:43:14.978701
738443,AIZ101  ,Israel,1787658187,1787658187,10.3034,44.2256,5905.5,False,205.01,281.14,-19.18,,6233.16,4147,False,0,2026-08-25 11:43:14.978701
738448,AIZ741  ,Israel,1787658188,1787658188,15.6736,44.3681,10980.42,False,210.71,289.54,0.33,,11490.96,4151,False,0,2026-08-25 11:43:14.978701
39c8f4,PVR25A  ,France,1787658188,1787658188,12.7046,45.4415,11277.6,False,199.76,46.36,-0.33,,11750.04,1000,False,0,2026-08-25 11:43:14.978701
3c49d5,EWG5EZ  ,Germany,1787658185,1787658188,16.1424,44.1065,6629.4,False,205.74,347.88,8.45,,7002.78,,False,0,2026-08-25 11:43:14.978701
4bb06f,THY3YL  ,Turkey,1787658188,1787658188,17.2041,37.1766,11277.6,False,242.58,42.08,0.0,,11963.4,3121,False,0,2026-08-25 11:43:14.978701
4bb06d,THY597  ,Turkey,1787658187,1787658188,16.8076,37.2342,10363.2,False,217.41,232.89,0.0,,11018.52,2310,False,0,2026-08-25 11:43:14.978701
3e0f77,GAF681  ,Germany,1787658188,1787658188,7.9892,43.8591,220.98,False,48.57,241.53,-0.33,,266.7,,False,0,2026-08-25 11:43:14.978701
4b1e45,HBLMB   ,Switzerland,1787658187,1787658188,6.9608,46.7051,1211.58,False,67.95,237.99,0.0,,1310.64,7000,False,0,2026-08-25 11:43:14.978701
345041,VLG3ZZ  ,Spain,1787658187,1787658187,14.4144,37.6497,3337.56,False,186.83,125.13,-12.03,,3657.6,0014,False,0,2026-08-25 11:43:14.978701
39a2e3,TVF18NF ,France,1787658188,1787658188,12.919,41.2822,11277.6,False,203.05,293.12,0.0,,11887.2,,False,0,2026-08-25 11:43:14.978701
3008d6,IPVGA   ,Italy,1787658140,1787658143,12.1553,45.6487,274.32,False,37.04,207.28,-2.93,,312.42,4251,False,0,2026-08-25 11:43:14.978701
3009b5,DLA9FF  ,Italy,1787658188,1787658188,11.1307,43.7617,457.2,False,70.32,48.26,-4.23,,518.16,1000,False,0,2026-08-25 11:43:14.978701
48af01,LOT2142 ,Poland,1787658187,1787658187,12.0622,41.9576,2491.74,False,140.35,349.23,13.66,,2636.52,,False,0,2026-08-25 11:43:14.978701
a88ec8,N650XA  ,United States,1787658188,1787658188,18.2101,37.32,12496.8,False,290.36,118.93,0.0,,13190.22,1215,False,0,2026-08-25 11:43:14.978701
4b1bbc,HBKNC   ,Switzerland,1787657948,1787657948,8.9204,46.152,762.0,False,41.42,6.42,-1.63,,822.96,0022,False,0,2026-08-25 11:43:14.978701
44ccc6,BEL8VB  ,Belgium,1787658188,1787658188,7.0843,42.107,10668.0,False,243.44,178.3,0.0,,11239.5,0110,False,0,2026-08-25 11:43:14.978701
44ccca,BEL27A  ,Belgium,1787658188,1787658188,7.1159,41.0987,11277.6,False,244.08,175.53,0.0,,11894.82,0117,False,0,2026-08-25 11:43:14.978701
4d0290,LRQ376F ,Luxembourg,1787658188,1787658188,14.9127,44.441,13106.4,False,219.16,312.72,-1.63,,13655.04,5533,False,0,2026-08-25 11:43:14.978701
40666a,EZY61JA ,United Kingdom,1787658188,1787658188,11.5437,46.4496,11269.98,False,251.13,133.17,0.33,,11711.94,7306,False,0,2026-08-25 11:43:14.978701
